"Player","Matches played","Attempts on target","Attempts off target","Attempts blocked","Attempts against woodwork","Team"
"Gareth Bale",5,13,5,2,0,"Wales"
"Kevin De Bruyne",5,10,7,5,0,"Belgium"
"Cristiano Ronaldo",5,10,14,14,1,"Portugal"
"Antoine Griezmann",5,8,2,5,1,"France"
"Álvaro Morata",4,7,4,2,0,"Spain"
"Nani",5,7,9,1,1,"Portugal"
"Gylfi Sigurdsson",5,6,1,3,0,"Iceland"
"Balázs Dzsudzsák",4,6,2,4,0,"Hungary"
"Robert Lewandowski",5,6,3,3,0,"Poland"
"Paul Pogba",5,6,4,3,1,"France"
"Mesut �<U+0096>zil",5,6,6,0,0,"Germany"
"Dimitri Payet",5,6,6,5,1,"France"
"Arkadiusz Milik",5,6,10,3,0,"Poland"
"Aaron Ramsey",5,5,1,6,0,"Wales"
"Mario Gomez",4,5,3,2,0,"Germany"
"Haris Seferovi�<U+0087>",4,5,3,1,1,"Switzerland"
"Romelu Lukaku",5,5,6,0,0,"Belgium"
"Bogdan Stancu",3,4,1,1,0,"Romania"
"Ádám Szalai",4,4,2,3,0,"Hungary"
"Sami Khedira",5,4,2,3,0,"Germany"
"Gerard Piqué",4,4,2,1,0,"Spain"
"Mario Götze",3,4,2,1,0,"Germany"
"Xherdan Shaqiri",4,4,3,3,0,"Switzerland"
"Mario Mandžuki�<U+0087>",3,4,3,2,0,"Croatia"
"Dries Mertens",5,4,4,4,0,"Belgium"
"Wayne Rooney",4,4,5,2,0,"England"
"Graziano Pellè",4,4,6,1,0,"Italy"
"Harry Kane",4,4,6,4,0,"England"
"Olivier Giroud",4,4,7,0,1,"France"
"Thomas Müller",5,4,7,4,2,"Germany"
"Ivan Periši�<U+0087>",4,4,8,4,2,"Croatia"
"�<U+0089>der",4,3,0,4,0,"Italy"
"Stuart Dallas",4,3,0,0,0,"Northern Ireland"
"Andriy Yarmolenko",3,3,1,2,0,"Ukraine"
"Ricardo Rodríguez",4,3,1,5,0,"Switzerland"
"Alessandro Schöpf",3,3,1,1,0,"Austria"
"Hal Robson-Kanu",4,3,1,0,0,"Wales"
"Tomáš Necid",3,3,1,0,0,"Czech Republic"
"Neil Taylor",5,3,1,1,0,"Wales"
"Andrés Iniesta",4,3,1,2,0,"Spain"
"Jakub B�<U+0082>aszczykowski",5,3,2,2,0,"Poland"
"Juraj Kucka",4,3,2,0,0,"Slovakia"
"Vladimír Darida",3,3,2,2,0,"Czech Republic"
"Fabian Schär",4,3,3,1,0,"Switzerland"
"Jeff Hendrick",4,3,3,1,1,"Republic of Ireland"
"Radja Nainggolan",5,3,3,3,0,"Belgium"
