"Player","PA","PC","PC %","Team"
"Toni Kroos",557,522,"94%","Germany"
"Granit Xhaka",398,364,"91%","Switzerland"
"Jérôme Boateng",382,347,"91%","Germany"
"Andrés Iniesta",356,327,"92%","Spain"
"Mesut �<U+0096>zil",336,307,"91%","Germany"
"Mats Hummels",333,312,"94%","Germany"
"Sergio Ramos",310,295,"95%","Spain"
"Grzegorz Krychowiak",310,278,"90%","Poland"
"Cesc Fàbregas",302,275,"91%","Spain"
"Sergio Busquets",298,281,"94%","Spain"
"Paul Pogba",285,255,"89%","France"
"Jonas Hector",281,256,"91%","Germany"
"Pepe",278,237,"85%","Portugal"
"Sami Khedira",273,245,"90%","Germany"
"William Carvalho",268,246,"92%","Portugal"
"Eden Hazard",263,233,"89%","Belgium"
"Eric Dier",262,236,"90%","England"
"Fabian Schär",260,245,"94%","Switzerland"
"Blaise Matuidi",259,241,"93%","France"
"Andrea Barzagli",258,238,"92%","Italy"
"Jordi Alba",256,239,"93%","Spain"
"Aaron Ramsey",255,212,"83%","Wales"
"Leonardo Bonucci",250,216,"86%","Italy"
"Johan Djourou",249,235,"94%","Switzerland"
"Axel Witsel",246,233,"95%","Belgium"
"Gerard Piqué",246,231,"94%","Spain"
"Dimitri Payet",243,202,"83%","France"
"Valon Behrami",231,219,"95%","Switzerland"
"Giorgio Chiellini",230,190,"83%","Italy"
"Kamil Glik",229,205,"90%","Poland"
"Vedran �<U+0086>orluka",226,201,"89%","Croatia"
"Wayne Rooney",225,201,"89%","England"
"Laurent Koscielny",220,203,"92%","France"
"James Chester",218,195,"89%","Wales"
"Kevin De Bruyne",215,169,"79%","Belgium"
"Marek Hamšík",214,183,"86%","Slovakia"
"N'Golo Kanté",213,198,"93%","France"
"Milan Badelj",213,182,"85%","Croatia"
"Luka Modri�<U+0087>",212,185,"87%","Croatia"
"Ricardo Rodríguez",210,195,"93%","Switzerland"
"Gary Cahill",210,194,"92%","England"
"Patrice Evra",209,176,"84%","France"
"Vasili Berezutski",207,189,"91%","Russia"
"Toby Alderweireld",206,191,"93%","Belgium"
"David Silva",200,174,"87%","Spain"
"Thomas Müller",200,161,"81%","Germany"
"Micha�<U+0082> Pazdan",199,178,"89%","Poland"
"João Moutinho",197,178,"90%","Portugal"
"Tamás Kádár",197,175,"89%","Hungary"
"Joshua Kimmich",195,169,"87%","Germany"
"Martin Škrtel",193,172,"89%","Slovakia"
"Joe Allen",193,171,"89%","Wales"
"João Mário",192,169,"88%","Portugal"
"Chris Smalling",191,185,"97%","England"
"Richárd Guzmics",190,169,"89%","Hungary"
"Sergei Ignashevich",189,168,"89%","Russia"
"Łukasz Piszczek",189,158,"84%","Poland"
"Bacary Sagna",188,177,"94%","France"
"Adil Rami",188,170,"90%","France"
"Artur J�<U+0099>drzejczyk",184,159,"86%","Poland"
"Ádám Lang",180,161,"89%","Hungary"
"Thomas Meunier",180,145,"81%","Belgium"
"Ben Davies",179,155,"87%","Wales"
"Julian Baumgartlinger",177,159,"90%","Austria"
"Danny Rose",177,158,"89%","England"
"Łukasz Fabia�<U+0084>ski",176,122,"69%","Poland"
"Ricardo Carvalho",174,172,"99%","Portugal"
"Kim Källström",174,139,"80%","Sweden"
"Manuel Neuer",171,160,"94%","Germany"
"Radja Nainggolan",167,148,"89%","Belgium"
"Martin Hinteregger",167,147,"88%","Austria"
"Benedikt Höwedes",166,149,"90%","Germany"
"Xherdan Shaqiri",166,145,"87%","Switzerland"
"Chris Gunter",166,134,"81%","Wales"
"Ján �<U+008E>urica",165,140,"85%","Slovakia"
"Zoltán Gera",164,140,"85%","Hungary"
"Juraj Kucka",164,137,"84%","Slovakia"
"Taras Stepanenko",163,143,"88%","Ukraine"
"Hannes Halldórsson",161,108,"67%","Iceland"
"Raphael Guerreiro",160,144,"90%","Portugal"
"Gábor Király",160,144,"90%","Hungary"
"Juanfran",160,138,"86%","Spain"
"Roland Juhász",159,145,"91%","Hungary"
"Cristiano Ronaldo",159,142,"89%","Portugal"
"Antoine Griezmann",159,135,"85%","France"
"Jan Vertonghen",159,134,"84%","Belgium"
"Marco Parolo",159,128,"81%","Italy"
"Ádám Nagy",158,150,"95%","Hungary"
"Jakub B�<U+0082>aszczykowski",155,135,"87%","Poland"
"Renato Sanches",148,134,"91%","Portugal"
"Krzysztof M�<U+0085>czy�<U+0084>ski",148,132,"89%","Poland"
"Gianluigi Buffon",148,130,"88%","Italy"
"Vladimír Darida",148,123,"83%","Czech Republic"
"Christian Fuchs",148,121,"82%","Austria"
"Ashley Williams",147,125,"85%","Wales"
"Nani",145,126,"87%","Portugal"
"Darijo Srna",145,120,"83%","Croatia"
"Domagoj Vida",144,140,"97%","Croatia"
"Gareth Bale",144,110,"76%","Wales"
"Dele Alli",142,118,"83%","England"
"Selçuk İnan",141,119,"84%","Turkey"
"André Gomes",141,117,"83%","Portugal"
"Robert Lewandowski",141,105,"74%","Poland"
"Thomas Vermaelen",139,132,"95%","Belgium"
"Aron Gunnarsson",139,112,"81%","Iceland"
"Jeff Hendrick",138,114,"83%","Republic of Ireland"
"Rui Patrício",138,102,"74%","Portugal"
"Joe Ledley",136,125,"92%","Wales"
"Admir Mehmedi",136,119,"88%","Switzerland"
"Andreas Granqvist",136,117,"86%","Sweden"
"Kyle Walker",136,112,"82%","England"
"Yevhen Khacheridi",135,124,"92%","Ukraine"
"Balázs Dzsudzsák",135,107,"79%","Hungary"
"Gylfi Sigurdsson",132,116,"88%","Iceland"
"Ragnar Sigurdsson",132,110,"83%","Iceland"
"Aleksandar Dragovi�<U+0087>",130,124,"95%","Austria"
"Vieirinha",130,106,"82%","Portugal"
"Emanuele Giaccherini",127,105,"83%","Italy"
"David Alaba",127,98,"77%","Austria"
"Robbie Brady",126,93,"74%","Republic of Ireland"
